region,nodes,total,run_idfeature_stor,run_tracksingle_stor,run_gettracks_stor,run_trackstats_stor,run_identifymcs_stor,run_matchpf_stor,run_robustmcs_stor,run_mapfeature_stor,run_speed_stor,regret_vs_global_best
0,8,33.062789292555614,beegfs,ssd,beegfs,beegfs,tmpfs,beegfs,tmpfs,beegfs,beegfs,28.675461860053872
0,8,33.07566488806155,beegfs,beegfs,ssd,beegfs,tmpfs,beegfs,beegfs,beegfs,beegfs,28.68833745555981
0,8,33.11063306134602,beegfs,beegfs,ssd,beegfs,tmpfs,beegfs,tmpfs,beegfs,beegfs,28.72330562884428
0,8,33.2279886845183,beegfs,ssd,beegfs,ssd,beegfs,beegfs,ssd,beegfs,beegfs,28.84066125201656
0,8,33.23897282800676,beegfs,ssd,beegfs,ssd,beegfs,ssd,beegfs,beegfs,beegfs,28.851645395505017
0,8,33.30252086643995,beegfs,ssd,beegfs,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,28.915193433938207
0,8,33.306009483709836,beegfs,ssd,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,beegfs,28.918682051208094
0,8,33.313505009928406,beegfs,ssd,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,28.926177577426664
0,8,33.340977656994305,beegfs,ssd,beegfs,beegfs,ssd,beegfs,tmpfs,beegfs,beegfs,28.953650224492563
0,8,33.350364635230356,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,28.963037202728614
0,8,33.35385325250025,beegfs,beegfs,ssd,beegfs,ssd,beegfs,beegfs,beegfs,beegfs,28.96652581999851
0,8,33.36134877871882,beegfs,beegfs,ssd,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,28.97402134621708
0,8,33.369091725016744,beegfs,ssd,beegfs,beegfs,tmpfs,beegfs,ssd,beegfs,beegfs,28.981764292515003
0,8,33.38882142578472,beegfs,beegfs,ssd,beegfs,ssd,beegfs,tmpfs,beegfs,beegfs,29.001493993282978
0,8,33.41693549380715,beegfs,beegfs,ssd,beegfs,tmpfs,beegfs,ssd,beegfs,beegfs,29.02960806130541
0,8,33.647280089455435,beegfs,ssd,beegfs,beegfs,ssd,beegfs,ssd,beegfs,beegfs,29.259952656953693
0,8,33.69512385824584,beegfs,beegfs,ssd,beegfs,ssd,beegfs,ssd,beegfs,beegfs,29.3077964257441
0,16,34.22598120410662,beegfs,beegfs,beegfs,ssd,beegfs,tmpfs,tmpfs,beegfs,beegfs,29.838653771604875
0,16,34.23713985659261,beegfs,ssd,beegfs,beegfs,tmpfs,tmpfs,beegfs,beegfs,beegfs,29.84981242409087
0,16,34.25246481686469,beegfs,beegfs,ssd,beegfs,tmpfs,tmpfs,beegfs,beegfs,beegfs,29.865137384362946
0,32,34.29745671930252,beegfs,beegfs,beegfs,ssd,beegfs,tmpfs,tmpfs,beegfs,beegfs,29.910129286800775
0,32,34.41245574094141,beegfs,ssd,beegfs,beegfs,tmpfs,tmpfs,beegfs,beegfs,beegfs,30.02512830843967
0,32,34.44780160916293,beegfs,beegfs,ssd,beegfs,tmpfs,tmpfs,beegfs,beegfs,beegfs,30.060474176661188
0,16,34.53854115748071,beegfs,ssd,beegfs,beegfs,beegfs,tmpfs,tmpfs,beegfs,beegfs,30.151213724978966
0,16,34.54125765119764,beegfs,beegfs,beegfs,ssd,beegfs,ssd,ssd,beegfs,beegfs,30.153930218695898
0,16,34.54427986060239,beegfs,ssd,beegfs,ssd,beegfs,tmpfs,tmpfs,beegfs,beegfs,30.156952428100645
0,16,34.54995951516941,beegfs,ssd,beegfs,beegfs,ssd,ssd,beegfs,beegfs,beegfs,30.16263208266767
0,16,34.55386611775279,beegfs,beegfs,ssd,beegfs,beegfs,tmpfs,tmpfs,beegfs,beegfs,30.166538685251048
0,16,34.56528447544149,beegfs,beegfs,ssd,beegfs,ssd,ssd,beegfs,beegfs,beegfs,30.177957042939745
0,32,34.595734467848835,beegfs,ssd,beegfs,ssd,beegfs,tmpfs,tmpfs,beegfs,beegfs,30.208407035347093
0,32,34.61273316639353,beegfs,beegfs,beegfs,ssd,beegfs,ssd,ssd,beegfs,beegfs,30.22540573389179
0,32,34.713857041829506,beegfs,ssd,beegfs,beegfs,beegfs,tmpfs,tmpfs,beegfs,beegfs,30.326529609327764
0,32,34.72527539951821,beegfs,ssd,beegfs,beegfs,ssd,ssd,beegfs,beegfs,beegfs,30.33794796701647
0,32,34.74920291005103,beegfs,beegfs,ssd,beegfs,beegfs,tmpfs,tmpfs,beegfs,beegfs,30.36187547754929
